site_id,site,male,abun_freq,parasite_proportion,mate_freq,mate_proportion,beta
1,km,non_parasitised,89,0.6953125,18,0.75,0.567961165
2,fp,non_parasitised,112,0.717948718,27,0.931034483,0.841359773
3,bb,non_parasitised,107,0.884297521,22,0.916666667,0.590038314
4,hp,non_parasitised,74,0.755102041,39,0.951219512,0.863468635
5,gn,non_parasitised,122,0.818791946,33,0.891891892,0.646120377
6,sm,non_parasitised,73,0.682242991,15,0.75,0.582857143
7,ku,non_parasitised,125,0.661375661,45,0.803571429,0.676850764
1,km,prasitised,39,0.3046875,6,0.25,0.432038835
2,fp,prasitised,44,0.282051282,2,0.068965517,0.158640227
3,bb,prasitised,14,0.115702479,2,0.083333333,0.409961686
4,hp,prasitised,24,0.244897959,2,0.048780488,0.136531365
5,gn,prasitised,27,0.181208054,4,0.108108108,0.353879623
6,sm,prasitised,34,0.317757009,5,0.25,0.417142857
7,ku,prasitised,64,0.338624339,11,0.196428571,0.323149236
